jogador,rodada,numero,cor,resultado,saldo
1,822,1,Vermelho,Vitória,160
1,823,36,Vermelho,Vitória,165
1,824,3,Vermelho,Vitória,170
1,825,21,Vermelho,Vitória,175
1,826,11,Preto,Derrota,170
1,827,36,Vermelho,Vitória,175
1,828,32,Vermelho,Vitória,180
1,829,22,Preto,Derrota,175
1,830,4,Preto,Derrota,170
1,831,11,Preto,Derrota,165
1,832,35,Preto,Derrota,160
1,833,21,Vermelho,Vitória,165
1,834,36,Vermelho,Vitória,170
1,835,11,Preto,Derrota,165
1,836,15,Preto,Derrota,160
1,837,24,Preto,Derrota,155
1,838,30,Vermelho,Vitória,160
1,839,9,Vermelho,Vitória,165
1,840,5,Vermelho,Vitória,170
1,841,29,Preto,Derrota,165
1,842,10,Preto,Derrota,160
1,843,20,Preto,Derrota,155
1,844,34,Vermelho,Vitória,160
1,845,1,Vermelho,Vitória,165
1,846,5,Vermelho,Vitória,170
1,847,33,Preto,Derrota,165
1,848,6,Preto,Derrota,160
1,849,34,Vermelho,Vitória,165
1,850,31,Preto,Derrota,160
1,851,13,Preto,Derrota,155
1,852,18,Vermelho,Vitória,160
1,853,14,Vermelho,Vitória,165
1,854,29,Preto,Derrota,160
1,855,23,Vermelho,Vitória,165
1,856,4,Preto,Derrota,160
1,857,35,Preto,Derrota,155
1,858,26,Preto,Derrota,150
1,859,30,Vermelho,Vitória,155
1,860,11,Preto,Derrota,150
1,861,12,Vermelho,Vitória,155
1,862,28,Preto,Derrota,150
1,863,20,Preto,Derrota,145
1,864,34,Vermelho,Vitória,150
1,865,33,Preto,Derrota,145
1,866,34,Vermelho,Vitória,150
1,867,1,Vermelho,Vitória,155
1,868,30,Vermelho,Vitória,160
1,869,6,Preto,Derrota,155
1,870,35,Preto,Derrota,150
1,871,31,Preto,Derrota,145
1,872,30,Vermelho,Vitória,150
1,873,15,Preto,Derrota,145
1,874,5,Vermelho,Vitória,150
1,875,22,Preto,Derrota,145
1,876,28,Preto,Derrota,140
1,877,7,Vermelho,Vitória,145
1,878,21,Vermelho,Vitória,150
1,879,16,Vermelho,Vitória,155
1,880,6,Preto,Derrota,150
1,881,32,Vermelho,Vitória,155
1,882,10,Preto,Derrota,150
1,883,8,Preto,Derrota,145
1,884,26,Preto,Derrota,140
1,885,28,Preto,Derrota,135
1,886,13,Preto,Derrota,130
1,887,19,Vermelho,Vitória,135
1,888,16,Vermelho,Vitória,140
1,889,3,Vermelho,Vitória,145
1,890,11,Preto,Derrota,140
1,891,4,Preto,Derrota,135
1,892,14,Vermelho,Vitória,140
1,893,11,Preto,Derrota,135
1,894,15,Preto,Derrota,130
1,895,29,Preto,Derrota,125
1,896,7,Vermelho,Vitória,130
1,897,11,Preto,Derrota,125
1,898,30,Vermelho,Vitória,130
1,899,4,Preto,Derrota,125
1,900,20,Preto,Derrota,120
1,901,21,Vermelho,Vitória,125
1,902,29,Preto,Derrota,120
1,903,31,Preto,Derrota,115
1,904,30,Vermelho,Vitória,120
1,905,7,Vermelho,Vitória,125
1,906,5,Vermelho,Vitória,130
1,907,19,Vermelho,Vitória,135
1,908,16,Vermelho,Vitória,140
1,909,19,Vermelho,Vitória,145
1,910,8,Preto,Derrota,140
1,911,0,Verde,Derrota,135
1,912,3,Vermelho,Vitória,140
1,913,12,Vermelho,Vitória,145
1,914,8,Preto,Derrota,140
1,915,29,Preto,Derrota,135
1,916,14,Vermelho,Vitória,140
1,917,10,Preto,Derrota,135
1,918,17,Preto,Derrota,130
1,919,9,Vermelho,Vitória,135
1,920,16,Vermelho,Vitória,140
1,921,34,Vermelho,Vitória,145
1,922,9,Vermelho,Vitória,150
1,923,5,Vermelho,Vitória,155
1,924,15,Preto,Derrota,150
1,925,21,Vermelho,Vitória,155
1,926,16,Vermelho,Vitória,160
1,927,27,Vermelho,Vitória,165
1,928,19,Vermelho,Vitória,170
1,929,25,Vermelho,Vitória,175
1,930,1,Vermelho,Vitória,180
1,931,24,Preto,Derrota,175
1,932,26,Preto,Derrota,170
1,933,21,Vermelho,Vitória,175
1,934,35,Preto,Derrota,170
1,935,32,Vermelho,Vitória,175
1,936,0,Verde,Derrota,170
1,937,14,Vermelho,Vitória,175
1,938,6,Preto,Derrota,170
1,939,7,Vermelho,Vitória,175
1,940,13,Preto,Derrota,170
1,941,36,Vermelho,Vitória,175
1,942,25,Vermelho,Vitória,180
1,943,20,Preto,Derrota,175
1,944,33,Preto,Derrota,170
1,945,12,Vermelho,Vitória,175
1,946,8,Preto,Derrota,170
1,947,10,Preto,Derrota,165
1,948,35,Preto,Derrota,160
1,949,6,Preto,Derrota,155
1,950,3,Vermelho,Vitória,160
1,951,26,Preto,Derrota,155
1,952,16,Vermelho,Vitória,160
1,953,32,Vermelho,Vitória,165
1,954,14,Vermelho,Vitória,170
1,955,15,Preto,Derrota,165
1,956,19,Vermelho,Vitória,170
1,957,36,Vermelho,Vitória,175
1,958,4,Preto,Derrota,170
1,959,29,Preto,Derrota,165
1,960,26,Preto,Derrota,160
1,961,24,Preto,Derrota,155
1,962,12,Vermelho,Vitória,160
1,963,29,Preto,Derrota,155
1,964,30,Vermelho,Vitória,160
1,965,2,Preto,Derrota,155
1,966,13,Preto,Derrota,150
1,967,18,Vermelho,Vitória,155
1,968,12,Vermelho,Vitória,160
1,969,29,Preto,Derrota,155
1,970,7,Vermelho,Vitória,160
1,971,15,Preto,Derrota,155
1,972,9,Vermelho,Vitória,160
1,973,17,Preto,Derrota,155
1,974,1,Vermelho,Vitória,160
1,975,26,Preto,Derrota,155
1,976,9,Vermelho,Vitória,160
1,977,20,Preto,Derrota,155
1,978,24,Preto,Derrota,150
1,979,8,Preto,Derrota,145
1,980,18,Vermelho,Vitória,150
1,981,3,Vermelho,Vitória,155
1,982,5,Vermelho,Vitória,160
1,983,10,Preto,Derrota,155
1,984,34,Vermelho,Vitória,160
1,985,11,Preto,Derrota,155
1,986,27,Vermelho,Vitória,160
1,987,20,Preto,Derrota,155
1,988,14,Vermelho,Vitória,160
1,989,19,Vermelho,Vitória,165
1,990,29,Preto,Derrota,160
1,991,20,Preto,Derrota,155
1,992,36,Vermelho,Vitória,160
1,993,14,Vermelho,Vitória,165
1,994,26,Preto,Derrota,160
1,995,29,Preto,Derrota,155
1,996,28,Preto,Derrota,150
1,997,1,Vermelho,Vitória,155
1,998,31,Preto,Derrota,150
1,999,17,Preto,Derrota,145
1,1000,17,Preto,Derrota,140
1,1001,10,Preto,Derrota,135
1,1002,5,Vermelho,Vitória,140
1,1003,6,Preto,Derrota,135
1,1004,16,Vermelho,Vitória,140
1,1005,1,Vermelho,Vitória,145
1,1006,7,Vermelho,Vitória,150
1,1007,6,Preto,Derrota,145
1,1008,25,Vermelho,Vitória,150
1,1009,8,Preto,Derrota,145
1,1010,27,Vermelho,Vitória,150
1,1011,17,Preto,Derrota,145
1,1012,36,Vermelho,Vitória,150
1,1013,17,Preto,Derrota,145
1,1014,10,Preto,Derrota,140
1,1015,24,Preto,Derrota,135
1,1016,5,Vermelho,Vitória,140
1,1017,25,Vermelho,Vitória,145
1,1018,16,Vermelho,Vitória,150
1,1019,18,Vermelho,Vitória,155
1,1020,15,Preto,Derrota,150
1,1021,29,Preto,Derrota,145
1,1022,33,Preto,Derrota,140
1,1023,31,Preto,Derrota,135
1,1024,7,Vermelho,Vitória,140
1,1025,28,Preto,Derrota,135
1,1026,4,Preto,Derrota,130
1,1027,32,Vermelho,Vitória,135
1,1028,18,Vermelho,Vitória,140
1,1029,26,Preto,Derrota,135
1,1030,6,Preto,Derrota,130
1,1031,22,Preto,Derrota,125
1,1032,30,Vermelho,Vitória,130
1,1033,29,Preto,Derrota,125
1,1034,5,Vermelho,Vitória,130
1,1035,20,Preto,Derrota,125
1,1036,7,Vermelho,Vitória,130
1,1037,18,Vermelho,Vitória,135
1,1038,24,Preto,Derrota,130
1,1039,32,Vermelho,Vitória,135
1,1040,32,Vermelho,Vitória,140
1,1041,4,Preto,Derrota,135
1,1042,15,Preto,Derrota,130
1,1043,31,Preto,Derrota,125
1,1044,12,Vermelho,Vitória,130
1,1045,20,Preto,Derrota,125
1,1046,19,Vermelho,Vitória,130
1,1047,18,Vermelho,Vitória,135
1,1048,32,Vermelho,Vitória,140
1,1049,14,Vermelho,Vitória,145
1,1050,13,Preto,Derrota,140
1,1051,13,Preto,Derrota,135
1,1052,23,Vermelho,Vitória,140
1,1053,20,Preto,Derrota,135
1,1054,33,Preto,Derrota,130
1,1055,34,Vermelho,Vitória,135
1,1056,8,Preto,Derrota,130
1,1057,1,Vermelho,Vitória,135
1,1058,14,Vermelho,Vitória,140
1,1059,3,Vermelho,Vitória,145
1,1060,31,Preto,Derrota,140
